track_id,user_id,message_id,reaction_id
391,509760591885,529.0,17
227,515788758231,530.0,56
392,253595547136,531.0,56
394,114447454905,533.0,57
396,509760591885,535.0,64
396,410618275779,535.0,64
396,852351726930,535.0,64
396,435739092941,535.0,65
396,321316551291,535.0,37
397,253595547136,536.0,2
397,140289111734,536.0,2
398,874158820580,538.0,57
398,667094331416,538.0,3
399,140289111734,539.0,2
402,852351726930,542.0,2
403,928449532550,544.0,57
403,140289111734,544.0,57
403,874158820580,544.0,57
407,959078742794,549.0,17
407,509760591885,549.0,17
407,874158820580,549.0,57
410,748039353331,552.0,56
410,690937716610,552.0,56
411,867935070956,553.0,17
411,697274345222,553.0,2
412,801346475500,554.0,2
412,435739092941,554.0,2
413,468835526493,555.0,2
413,874158820580,555.0,2
413,435739092941,555.0,2
413,140289111734,555.0,2
414,959078742794,557.0,57
414,801346475500,557.0,57
414,748039353331,557.0,57
414,867935070956,557.0,56
414,929819142165,557.0,57
414,852351726930,557.0,57
415,959078742794,558.0,2
415,801346475500,558.0,2
97,509760591885,559.0,2
97,144838920781,559.0,2
97,515788758231,559.0,2
97,947026405030,559.0,2
416,959078742794,560.0,57
416,144838920781,560.0,57
416,230986011321,560.0,57
416,874158820580,560.0,57
416,852351726930,560.0,57
417,636545644634,562.0,2
417,126580655982,562.0,2
417,929819142165,562.0,2
417,676591585116,562.0,2
417,509760591885,562.0,2
417,959078742794,562.0,2
422,734535702313,567.0,2
422,874158820580,567.0,2
422,676591585116,567.0,2
422,509760591885,567.0,61
98,750156468469,568.0,2
98,475272494144,568.0,2
425,230986011321,571.0,2
425,801346475500,571.0,56
425,874158820580,571.0,2
425,509760591885,571.0,56
426,804121600141,572.0,56
426,475272494144,572.0,56
426,253595547136,572.0,56
426,515788758231,572.0,56
427,703052179864,573.0,17
427,468835526493,573.0,17
427,435739092941,573.0,17
427,410040702296,573.0,17
427,874158820580,573.0,17
427,852351726930,573.0,17
428,867935070956,574.0,17
428,230986011321,574.0,56
428,985288390348,574.0,56
428,410040702296,574.0,56
429,597796988988,575.0,2
429,383616851268,575.0,2
430,847325700689,576.0,56
430,468835526493,576.0,56
145,821068817689,577.0,2
145,867935070956,577.0,17
432,383616851268,579.0,2
432,509760591885,579.0,34
432,734535702313,579.0,2
432,874158820580,579.0,59
432,676591585116,579.0,2
432,985288390348,579.0,59
433,383616851268,585.0,2
434,801392618851,591.0,56
434,818493235519,591.0,56
434,509760591885,591.0,56
435,661251333274,592.0,56
435,606884302092,592.0,56
435,801392618851,592.0,56
435,509760591885,592.0,56
436,750156468469,593.0,2
436,509760591885,593.0,56
437,801392618851,594.0,56
437,242725736100,594.0,56
203,750156468469,600.0,56
438,750156468469,601.0,2
438,128533184648,601.0,2
438,874158820580,601.0,2
438,515788758231,601.0,2
441,247037694794,606.0,56
441,606884302092,606.0,56
441,801392618851,606.0,56
441,509760591885,606.0,56
