id,metadata
112,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Shape Of My Heart"", ""lastfm_artist"": ""Sting""}"
121,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Bache Mahal"", ""lastfm_artist"": ""Zedbazi""}"
109,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""THE LONELIEST"", ""lastfm_artist"": ""Måneskin""}"
103,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Be Man Nagoo Dooset Daram"", ""lastfm_artist"": ""Dariush""}"
98,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Shabe Akhar"", ""lastfm_artist"": ""Dariush""}"
102,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Soghoot (Dariush Live On Stage)"", ""lastfm_artist"": ""Dariush""}"
785,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Bi Ehsas"", ""lastfm_artist"": ""Shadmehr Aghili""}"
100,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Sefr"", ""lastfm_artist"": ""Dariush""}"
99,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Saleh 2000"", ""lastfm_artist"": ""Dariush""}"
122,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Cigare Sooraty, Daro Baz Kon, Bache Mahal (Live)"", ""lastfm_artist"": ""Mehrad Hidden""}"
118,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Mara Beboos"", ""lastfm_artist"": ""Viguen""}"
120,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Gole Yakh"", ""lastfm_artist"": ""Kourosh Yaghmaei""}"
124,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Labkhand"", ""lastfm_artist"": ""Mahasti""}"
127,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Asir"", ""lastfm_artist"": ""Mahasti""}"
126,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Benevis"", ""lastfm_artist"": ""Mahasti""}"
129,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Barge gol"", ""lastfm_artist"": ""Mahasti""}"
123,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Mahal"", ""lastfm_artist"": ""Shadmehr Aghili""}"
128,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Bia Benevisim"", ""lastfm_artist"": ""Mahasti""}"
115,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""The Night We Met"", ""lastfm_artist"": ""Lord Huron""}"
130,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Meykhooneh Bisharabeh"", ""lastfm_artist"": ""Mahasti""}"
132,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Yare Joon Jooni"", ""lastfm_artist"": ""Mahasti""}"
133,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Magiresh Az Man"", ""lastfm_artist"": ""Mahasti""}"
131,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Akharin Tabib"", ""lastfm_artist"": ""Mahasti""}"
134,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Naro"", ""lastfm_artist"": ""Mahasti""}"
135,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Jodaee"", ""lastfm_artist"": ""Mahasti""}"
