id,artists_id,uploaded_by
559,356,"750156468469,863329919180"
563,148,"750156468469,245143586034"
567,398,750156468469
570,146,750156468469
573,422,296272052435
574,423,296272052435
578,146,"509760591885,509760591885"
579,146,216743486564
589,428,216743486564
1029,668,230986011321
1069,"681,650",270247321047
1071,682,741416130534
1097,693,804121600141
1283,18,874158820580
11363,57,996405937084
2179,1002,"107688298394,949538583064"
2755,1452,230986011321
8145,710,545559172177
582,"18,424,19",874158820580
596,196,394117657821
614,,542654609056
475,367,"216743486564,410618275779"
580,31,216743486564
583,207,801346475500
587,427,734535702313
592,89,804121600141
595,434,906787991853
603,"166,103",867935070956
604,437,867935070956
605,438,750156468469
606,439,874158820580
610,441,114447454905
611,441,114447454905
615,443,"509760591885,888721759330"
2461,211,509760591885
640,"455,456",769929183709
3000,1544,"410040702296,206778660188,123317730197,758444174081"
625,138,216743486564
7642,1825,971657212338
8102,571,634676158068
11368,4077,210965998732
1242,"164,762",867935070956
641,,206727921604
655,"462,463",867935070956
651,"461,279",867935070956
616,411,544463456298
620,88,270247321047
623,181,817321833631
627,447,"750156468469,750156468469"
628,448,216743486564
630,450,799443797620
635,78,"750156468469,162342107260,438071472030"
636,78,874158820580
637,78,750156468469
654,458,579377061875
659,467,874158820580
938,626,769929183709
939,627,"238042137625,225297020098"
6896,2740,438071472030
8107,"3101,3102",666167540785
8148,234,474462054755
670,798,491201620041
2489,"44,1348",874158820580
660,468,"874158820580,817321833631,949538583064"
643,"26,29",270247321047
331,278,"874158820580,874158820580"
645,457,817321833631
652,208,242725736100
653,458,"734535702313,849733476327"
656,78,"750156468469,438071472030,563388874988"
658,"464,465,466",750156468469
661,109,509760591885
680,472,874158820580
681,256,874158820580
683,474,750156468469
684,"475,476,477",321316551291
685,"475,477",321316551291
689,172,509760591885
690,172,509760591885
1243,591,896894389979
2760,1454,974609541585
3211,"1636,192",131801535028
7922,3045,368390667456
8166,"126,695",438071472030
13210,517,604665014408
7644,2950,849733476327
702,"486,487,486,486",929819142165
718,500,769929183709
719,,769929183709
722,,657730610795
728,506,906787991853
3212,1637,296272052435
593,432,"600928040850,874158820580"
675,228,"929819142165,929819142165"
678,75,"410618275779,869228245033"
692,168,874158820580
694,"481,482,475",321316551291
696,484,750156468469
697,482,874158820580
708,491,804121600141
710,"494,495",874158820580
724,276,509760591885
945,"631,632,633,634","874158820580,438071472030"
8171,3118,"245032061699,245032061699"
8188,798,413739000844
709,493,867935070956
8192,65,126580655982
10319,2013,"245032061699,869228245033,653911562158"
10706,787,604665014408
700,196,475272494144
704,490,863699380035
714,498,804121600141
720,"501,502",296272052435
721,408,657730610795
723,503,475272494144
725,504,804121600141
726,505,216743486564
727,337,139817792074
732,509,750156468469
734,157,874158820580
736,178,"874158820580,874158820580"
739,362,750156468469
742,224,661251333274
749,515,874158820580
758,518,206727921604
759,519,206727921604
2516,1366,734535702313
2761,239,131801535028
7645,"608,1938",438071472030
8189,"798,125",245032061699
10708,3884,863329919180
13239,"969,4738",888990630183
787,298,801346475500
782,"533,534,535,535,536,537",468835526493
781,54,468835526493
1312,181,"929819142165,929819142165,569047383287"
786,145,"492424079933,892534879101"
765,521,509760591885
733,149,874158820580
740,504,661251333274
744,196,475272494144
751,516,799443797620
761,146,509760591885
766,522,874158820580
770,"166,117",394117657821
771,526,946525509013
773,"475,527,528",321316551291
779,532,270247321047
967,167,579377061875
972,61,145507500900
973,643,"509760591885,509760591885"
1022,663,874158820580
6897,295,438071472030
2996,645,579377061875
3041,519,"974609541585,616554609597"
13257,4749,424429512863
793,506,906787991853
817,54,734535702313
3376,1438,"896894389979,758079066679"
3384,"1685,1686",929819142165
811,182,115890368776
812,551,801346475500
816,"553,554",492424079933
768,524,750156468469
778,"531,295,17",270247321047
790,"539,540",836928405393
791,525,579377061875
799,"217,541","929819142165,929819142165"
801,164,468835526493
803,542,509760591885
805,545,475272494144
809,549,874158820580
1245,764,867935070956
1246,765,"959078742794,994985901817"
804,"543,544",849733476327
2509,1360,213478247449
6907,43,888721759330
10709,1218,690719799488
820,77,874158820580
818,555,817321833631
10710,,690719799488
827,"558,559,560",703052179864
3213,146,419245996818
825,145,230986011321
836,569,867935070956
3002,344,"407575456169,407575456169"
7647,263,168459389183
841,163,"145507500900,680101439838,969756702642,932750930957"
813,"488,117",383616851268
2548,295,"801346475500,218093200747"
807,547,661251333274
810,550,115890368776
821,172,509760591885
828,561,817321833631
835,568,579377061875
837,"570,107,108",867935070956
840,186,145507500900
846,"140,141",874158820580
847,"571,572,68",874158820580
2765,1377,734535702313
5198,200,567839591024
7923,3046,130713082052
838,163,579377061875
2764,"184,1377",734535702313
10711,3885,280468269439
870,"586,586,586,587,586",140289111734
872,"469,125",475272494144
829,238,"874158820580,951313012753"
831,1,"410618275779,218093200747,812649641749"
832,"563,564,565",270247321047
844,163,509760591885
845,163,145507500900
852,577,139817792074
853,"44,578",874158820580
855,579,230986011321
858,580,"896894389979,339046812284,261100721749"
864,585,750156468469
867,"571,68",874158820580
871,167,"579377061875,136486185997"
875,590,321316551291
1008,196,"579377061875,516695344247"
1062,1,748039353331
2521,1238,896894389979
1003,166,383616851268
5200,356,996405937084
868,603,801346475500
10712,3886,690719799488
1313,,867935070956
877,"262,262,575,575",509760591885
896,181,579377061875
1033,186,867935070956
865,"571,68","929819142165,263021605118"
866,479,874158820580
881,594,296272052435
882,104,750156468469
885,596,509760591885
889,600,410618275779
897,605,"410618275779,509760591885"
902,607,"750156468469,589867706993"
903,608,321316551291
904,67,874158820580
906,"515,7",874158820580
997,262,238042137625
1087,691,491201620041
1120,135,"296272052435,812649641749,399854590127"
1254,774,"713815986884,709960603219"
2766,196,734535702313
2839,488,383616851268
7749,2988,636545644634
931,"622,623",874158820580
936,"145,456",230986011321
909,"603,609",410618275779
843,163,"818493235519,924489435838"
880,593,"296272052435,296272052435,604665014408"
892,602,509760591885
899,"433,118","321316551291,874158820580,868239522489"
907,7,874158820580
908,157,"410618275779,438071472030,424901071220"
910,610,296272052435
913,612,676591585116
915,189,"509760591885,509760591885"
920,615,315631053874
923,617,296272052435
924,618,140289111734
927,619,230986011321
930,621,321316551291
932,571,874158820580
935,624,140289111734
1026,666,579377061875
1043,673,929819142165
926,33,959078742794
2181,1002,"107688298394,863329919180,863329919180"
8217,183,756372794491
3197,1544,911593860202
5201,167,"372828469540,365660435784,394117657821"
956,264,867935070956
964,"482,476",874158820580
965,263,383616851268
937,625,579377061875
941,262,509760591885
943,629,296272052435
944,630,296272052435
946,28,"929819142165,756372794491"
950,"230,571",874158820580
953,109,804121600141
954,109,804121600141
957,639,867935070956
958,167,394117657821
960,460,657730610795
961,482,874158820580
963,"126,67",874158820580
1056,146,509760591885
1099,694,315631053874
2184,223,"929819142165,929819142165"
2818,1477,115890368776
7750,1736,756372794491
929,620,"296272052435,296272052435"
968,642,140289111734
976,645,579377061875
977,646,270247321047
978,646,270247321047
979,563,270247321047
980,563,270247321047
983,647,296272052435
985,211,509760591885
986,4,475272494144
989,585,750156468469
990,649,296272052435
993,620,296272052435
994,618,270247321047
995,"433,650",321316551291
996,651,579377061875
1145,433,230986011321
1147,"687,688,719","874158820580,874158820580,812649641749"
1135,713,750156468469
8287,636,634676158068
2535,657,"929819142165,426362434662,355242680870,469005496082,616554609597,616554609597,869395596643"
2551,1377,734535702313
1011,"656,54",321316551291
1247,"766,767",230986011321
857,53,"216743486564,216743486564"
998,652,867935070956
1000,620,296272052435
1001,175,"874158820580,213478247449"
1004,653,296272052435
1005,653,296272052435
1006,654,661251333274
1013,525,867935070956
1016,658,509760591885
1019,445,509760591885
1020,"631,661,662",230986011321
1023,"482,481,267,268",906787991853
1024,"18,21,664",874158820580
1098,154,"509760591885,509760591885"
1217,749,867935070956
1261,777,804121600141
2550,"1375,1376,836",929819142165
2613,1403,896894389979
2657,525,394117657821
7751,1816,221736714783
1051,676,383616851268
2819,1478,115890368776
1028,667,"874158820580,812649641749"
3015,1552,"542654609056,891558330436"
3021,54,394117657821
1025,665,867935070956
3071,261,140289111734
8289,636,634676158068
1034,186,867935070956
160,155,"515788758231,509760591885"
1027,196,579377061875
1031,670,"509760591885,760029738066"
1032,196,874158820580
1038,"475,476,329",321316551291
1042,672,145507500900
1050,167,"579377061875,731159599603,438071472030,497893661469"
1053,678,242725736100
1110,700,697274345222
3288,80,985288390348
2820,182,115890368776
5206,,
7924,3047,426362434662
7925,3048,245032061699
1073,739,230986011321
1072,298,253595547136
1070,298,410618275779
1068,298,"410618275779,844849809695"
1060,7,"874158820580,396287033930,812649641749,951313012753"
1066,147,140289111734
1076,298,410618275779
1079,686,579377061875
1081,"687,688,6",874158820580
1082,181,804121600141
1083,181,321316551291
1084,"689,690",270247321047
1122,"705,293,455,706",321316551291
1170,352,743672317735
1174,"267,268,269",906787991853
1176,244,"867935070956,257206398811"
1094,"181,692",394117657821
2576,1388,"509760591885,734535702313"
2821,295,836928405393
1100,196,230986011321
1109,699,230986011321
1255,,140289111734
8301,267,258810996865
3045,1564,410040702296
3105,"1585,720",703052179864
1155,,140289111734
3125,1463,"632667648014,321316551291,257206398811,604665014408"
1086,181,"579377061875,323273455984,984398789005,616554609597"
3013,295,836928405393
1088,419,"270247321047,206778660188"
1089,403,661251333274
1095,455,230986011321
1102,"695,696",874158820580
1103,1,270247321047
1104,697,579377061875
1108,698,230986011321
1111,167,394117657821
1112,"701,165",874158820580
1115,7,874158820580
1117,703,804121600141
1131,"488,711,712",107532415064
1132,"488,711,712",107532415064
3198,1631,296272052435
8227,343,"409371505827,261672904480,126580655982,636545644634"
10720,1215,812649641749
1130,"488,711,712",107532415064
2823,"1479,1480,622,1481",140289111734
1140,54,383616851268
1142,"716,717",874158820580
1121,146,509760591885
1123,146,509760591885
1125,146,509760591885
1126,"707,708",206727921604
1129,710,"661251333274,536320523506,536320523506"
1136,149,874158820580
1138,146,509760591885
1139,"167,714",394117657821
1141,715,804121600141
1143,299,874158820580
1205,743,661251333274
1272,213,661251333274
1284,790,874158820580
7755,196,405513968079
7757,"2169,2989",426362434662
8233,504,"355242680870,126580655982"
1164,729,684877701428
5324,49,706986751636
10721,1033,666167540785
1162,"726,727,728","748039353331,867935070956,169631732730"
1150,,162342107260
1149,720,230986011321
1151,"571,126,230",874158820580
1152,721,579377061875
1153,722,"874158820580,874158820580"
1154,175,874158820580
1156,181,579377061875
1159,723,874158820580
1160,724,684877701428
1167,158,929819142165
1171,732,743672317735
1172,733,"238042137625,979910711272"
1175,734,979910711272
1177,735,804121600141
1178,736,743672317735
1180,737,242725736100
1182,278,874158820580
1248,768,"776694933307,776694933307"
2824,"1482,1483,107,108",867935070956
1190,202,394117657821
7758,"2990,2169",426362434662
8304,1217,"210965998732,812649641749,202863342858"
1179,729,"734535702313,438071472030"
8532,1695,709960603219
8572,3243,312759452298
10723,671,245143586034
8236,200,"769573635661,620810420306,557097932039"
1075,683,"140289111734,438071472030"
1169,731,804121600141
1184,602,579377061875
1189,741,140289111734
1191,504,"509760591885,213187897294"
1194,742,"874158820580,874158820580,197341950772"
1196,"282,456",230986011321
1198,181,579377061875
1200,"571,68",874158820580
1201,"571,68",874158820580
1203,"571,68",874158820580
1208,744,394117657821
1209,445,509760591885
1218,167,801346475500
1220,750,804121600141
1225,756,979910711272
2574,"964,1386",929819142165
2622,200,407575456169
8306,1699,563388874988
1204,,928449532550
1251,771,117011297946
2825,448,"509760591885,563388874988"
3262,60,916532885936
10930,3461,315631053874
7940,,165501917790
682,473,"867935070956,867935070956"
1269,"780,780,781,782",140289111734
1271,"784,107,108",394117657821
1260,776,804121600141
1211,"140,745,746",321316551291
1213,96,979910711272
1214,126,874158820580
1219,675,270247321047
1221,"751,752,753",140289111734
1223,754,750156468469
1224,755,"750156468469,951313012753"
1249,769,657730610795
1250,770,296272052435
1253,"773,423",187786157506
1301,"797,107,108","634022492611,634022492611"
2579,509,230986011321
7759,571,438071472030
2607,"1401,117",230986011321
3016,145,801392618851
3042,1562,193162374003
8250,"1781,3135",750156468469
1276,"787,255",489816938483
1298,774,713815986884
1310,54,394117657821
2638,186,130713082052
1266,145,"867935070956,365660435784"
1173,155,"509760591885,509760591885,509760591885"
1259,775,867935070956
1268,779,428068560716
1274,785,804121600141
