id,file_id,unique_file_id,artists_id,uploaded_by,chat_id,message_id,likes_count,dislikes_count,reactions_count
4555,5868700530808719069,6197829515844797753,2037,929819142165,-1004482228130,8425,0,0,0
10086,5393371105681474824,-1754539552480545834,3711,769573635661,-1004482228130,16525,3,0,3
4561,6021558897909698058,-7898719631135687987,"258,588",756372794491,-1004482228130,8434,0,0,0
11136,5873145731765769206,6802593039340842716,145,849733476327,-1004482228130,18169,5,0,5
4551,6030333039354056177,-5391159816900982074,745,756372794491,-1004482228130,8420,2,0,2
4564,5979004349056034724,7642340955741799683,885,616286639596,-1004482228130,8437,1,0,1
4565,5958680615350961196,-6272249239371244348,710,114447454905,-1004482228130,8439,4,0,4
4568,5228805027098790231,3651799047713165732,545,126580655982,-1004482228130,8443,4,0,4
4570,6003611423580622354,-605342050392134151,1125,126580655982,-1004482228130,8445,3,0,3
4553,6024105723321914683,-129475857428541301,"745,67,1109,1110",929819142165,-1004482228130,8422,2,0,2
4563,5979004349056034722,-561509905783814585,885,"140289111734,500357715903,563388874988,500357715903",-1004482228130,8436,19,0,19
4545,6010270950761696784,-8132097586331576131,17,756372794491,-1004482228130,8413,2,0,2
4549,5965441984796562490,2022613710676027189,"2035,2036",123317730197,-1004482228130,8418,2,0,2
7854,5832346020649898966,-2100455564762229782,295,396287033930,-1004482228130,13109,9,1,10
4547,5906485350976460215,1084470081972814720,"1936,17,1067",123317730197,-1004482228130,8415,2,0,2
4554,5188656003528261938,-8966273078640312954,745,123317730197,-1004482228130,8424,1,0,1
4559,6003627340729423264,8198499633410929334,295,218093200747,-1004482228130,8430,6,0,6
4558,5979004349056034664,2517765138780545460,665,971657212338,-1004482228130,8428,2,0,2
4566,5981256148869718107,-9136118395927329801,164,706986751636,-1004482228130,8441,3,0,3
4567,5961034257429169459,7994609845038255150,2040,365660435784,-1004482228130,8442,2,0,2
4569,5981256148869718119,-4638893490163072796,344,210396356827,-1004482228130,8444,2,0,3
7853,5305437826458847063,-8588387867766255156,968,655438819868,-1004482228130,13108,10,0,10
1558,263354075897136224,6900540720987944109,208,"804121600141,122678901963,368390667456,316195095367",-1004482228130,4893,23,0,23
10037,5850346945846971448,-4075678983920578448,184,780523226387,-1004482228130,16447,8,0,8
10055,5870656068073297426,-4859149898913779046,393,165501917790,-1004482228130,16472,4,0,4
10188,5292109902989234012,-4134240851699902446,716,868239522489,-1004482228130,16677,9,0,9
842,6044310503612748157,83186070036647315,163,"144838920781,206778660188",-1004482228130,4081,19,0,19
2850,5940786819523154589,2640857708814395047,1489,242725736100,-1004482228130,6386,11,0,11
10250,5900028941388746654,1240435578187991740,,493359161987,-1004482228130,16773,4,0,4
10323,254107084323292426,-8420706843335836351,29,165501917790,-1004482228130,16887,4,0,4
10336,5301106905991611225,-5241024471886749969,856,863329919180,-1004482228130,16906,2,0,2
2314,5296553385959361842,-5873628754466087054,17,"929819142165,756372794491,448540462163",-1004482228130,5752,9,0,9
4576,5981129997090297040,7020423589451151403,"1125,107,108",438071472030,-1004482228130,8455,2,0,2
11002,5899799040379328487,-5542266196147751445,3964,472558623157,-1004482228130,17950,1,0,1
4580,5981256148869718227,-4273509614930896789,145,438071472030,-1004482228130,8459,2,0,2
4593,5958450765881148816,-4743212365862881053,264,858030157299,-1004482228130,8474,9,0,9
4589,5972151629951012646,7857386853275784814,525,"206778660188,309842505795",-1004482228130,8470,10,0,10
4596,5846010828469310514,778358581792885172,196,801765945254,-1004482228130,8477,14,0,14
